Age|Color|Name|Effect|Cost|Free|Chain|Chain
1|Brown|lumberyard.png|Wood|NA|NA|NA|NA
1|Brown|orevein.png|Ore|NA|NA|NA|NA
1|Brown|claypool.png|Clay|NA|NA|NA|NA
1|Brown|stonepit.png|Stone|NA|NA|NA|NA
1|Brown|timberyard.png|Stone or Wood|1|NA|NA|NA
1|Brown|claypit.png|Clay or Ore|1|NA|NA|NA
1|Gray|loom.png|Loom|NA|NA|NA|NA
1|Gray|glassworks.png|Glass|NA|NA|NA|NA
1|Gray|press.png|Papyrus|NA|NA|NA|NA
1|Green|scriptorium.png|Tablet|Papyrus|NA|Courthouse|Library
1|Green|workshop.png|Gear|Glass|NA|Laboratory|Archery Range
1|Red|guardtower.png|1|Clay|NA|NA|NA
1|Red|stockade.png|1|Wood|NA|NA|NA
1|Yellow|easttradingpost.png|discount right Clay Stone Wood Ore|NA|Forum|NA
1|Yellow|westtradingpost.png|discount left Clay Stone Wood Ore|NA|Forum|NA
1|Red|barracks.png|1|Ore|NA|NA|NA
1|Blue|baths.png|3|Stone|NA|Aqueduct|NA
1|Yellow|marketplace.png|discount both Glass Papyrus Loom|NA|NA|Caravansery|NA
1|Blue|theater.png|2|NA|NA|Statue|NA
1|Green|apothecary.png|Compass|Loom|NA|stables|dispensary
1|Blue|altar.png|2|NA|NA|temple|NA

2|Green|school.png|Tablet|Wood Papyrus|NA|academy|study
2|Green|library.png|Tablet|Stone Stone Loom|Scriptorium|Senate|University
2|Green|laboratory.png|Gear|Clay Clay Papyrus|Workshop|Observatory|Siege Workshop
2|Green|dispensary.png|Compass|Ore Ore Glass|Apothecary|Lodge|Arena
2|Grey|press.png|Papyrus|NA|NA|NA|NA
2|Grey|loom.png|Cloth|NA|NA|NA|NA
2|Grey|glassworks.png|Glass|NA|NA|NA|NA
2|Red|stables.png|2|Clay Wood Ore|Apothecary|NA|NA
2|Red|walls.png|2|Stone Stone Stone|fortifications|
2|Red|archeryrange.png|2|Wood Wood Ore|Workshop|NA|NA
2|Yellow|forum.png|give Glass or Loom or Papyrus|Clay Clay|Trading Post|Haven|NA
2|Yellow|vineyard.png|coin all brown|NA|NA|NA|NA
2|Yellow|caravansery.png|Wood or Stone or Ore or Clay|Wood Wood|Marketplace|Lighthouse|NA
2|Blue|statue.png|4|Ore Ore Wood|Theater|Gardens|NA
2|Blue|temple.png|3|Glass Clay Wood|Altar|Pantheon|NA
2|Blue|courthouse.png|4|Clay Clay Loom|Scriptorium|NA|NA
2|Blue|aqueduct.png|5|Stone Stone Stone|Baths|NA|NA
2|Brown|foundry.png|Ore Ore|1|NA|NA|NA
2|Brown|sawmill.png|Wood Wood|1|NA|NA|NA
2|Brown|brickyard.png|Clay Clay|1|NA|NA|NA
2|Brown|quarry.png|Stone Stone|1|NA|NA|NA

3|Purple|scientistsguild.png|Compass or Tablet or Gear|Wood Wood Ore Ore Papyrus|NA|NA|NA
3|Purple|tradersguild.png|1pt Yellow neighbors|Glass Cloth Papyrus|NA|NA|NA
3|Purple|spiesguild.png|1pt Red neighbors|Clay Clay Clay Glass|NA|NA|NA
3|Purple|workersguild.png|1pt Brown neighbors|Ore Ore Clay Stone Wood|NA|NA|NA
3|Purple|strategistsguild.png|1pt loss neighbors|Ore Ore Stone Cloth|NA|NA|NA
3|Purple|craftsmensguild.png|2pt Grey neighbors|Ore Ore Stone Stone|NA|NA|NA
3|Purple|philosophersguild.png|1pt Green neighbors|Clay Clay Clay Papyrus Cloth|NA|NA|NA
3|Purple|shipownersguild.png||1pt Brown/Grey/Purple you|Wood Wood Wood Glass Papyrus|NA|NA|NA
3|Purple|buildersguild.png|1pt Wonder all|Stone Stone Clay Clay Glass|NA|NA|NA
3|Purple|magistratesguild.png|1pt Blue neighbors|Wood Wood Wood Stone Cloth|NA|NA|NA
3|Green|study.png|Gear|Wood Papyrus Cloth|School|NA|NA
3|Green|academy.png|Compass|Stone Stone Stone Glass|School|NA|NA
3|Red|siegeworkshop.png|3|Clay Clay Clay Wood|Laboratory|NA|NA
3|Blue|senate.png|6|Wood Wood Stone Ore|Library|NA|NA
3|Red|arsenal.png|3|Wood Wood Ore Cloth|NA|NA|NA
3|Yellow|arena.png|3coin 1pt Wonder you|Stone Stone Ore|Dispensary|NA|NA
3|Red|fortifications.png|3|Ore Ore Ore Stone|Walls|NA|NA
3|Yellow|haven.png|1coin 1pt Brown you|Wood Ore Cloth|Forum|NA|NA
3|Yellow|lighthouse.png|1coin 1pt Yellow you|Stone Glass|Caravansery|NA|NA
3|Blue|pantheon.png|7|Clay Clay Ore Glass Papyrus Cloth|Temple|NA|NA
3|Blue|gardens.png|5|Clay Clay Wood|Statue|NA|NA
3|Blue|townhall.png|6|Stone Stone Ore Glass|NA|NA|NA
3|Blue|palace.png|8|Stone Ore Wood Clay Glass Papyrus Cloth|NA|NA|NA
3|Green|observatory.png|Gear|Ore Ore Glass Cloth|Laboratory|NA|NA
3|Green|lodge.png|Compass|Clay Clay Papyrus Cloth|Dispensary|NA|NA
3|Green|university.png|Tablet|Wood Wood Papyrus Glass|Library|NA|NA
